STATE,ZONE,STATION_CALL_ID
ID,'Challis/Pahsimeroi Valleys',KLLJ 
ID,'Coeur d'Alene Area',KCOE 
ID,'Eastern Lemhi County',KSMN 
ID,'Eastern Magic Valley',KBYI 
ID,'Lewiston Area',KLWS 
ID,'Lower Snake River Plain',KPIH 
ID,'Lower Treasure Valley',KEUL 
ID,'Northern Panhandle',KSZT 
ID,'Raft River Region',K77M 
ID,'Teton Valley',KDIJ 
ID,'Upper Snake River Plain',KIDA 
ID,'Upper Snake River Plain',KRXE 
ID,'Upper Treasure Valley',KBOI 
ID,'Upper Treasure Valley',KMUO 
ID,'West Central Mountains',KMYL 
ID,'Western Magic Valley',KJER 
ID,'Western Magic Valley',KTWF 
ID,'Wood River Foothills',KSUN 
IL,'Adams',KUIN 
IL,'Alexander',KCIR 
IL,'Carroll',KSFY 
IL,'Central Cook',KMDW 
IL,'Central Cook',KORD 
IL,'Champaign',KCMI 
IL,'Champaign',KTIP 
IL,'Christian',KTAZ 
IL,'Clay',KFOA 
IL,'Coles',KMTO 
IL,'Crawford',KRSV 
IL,'De Kalb',KDKB 
IL,'DuPage',KDPA 
IL,'Edgar',KPRG 
IL,'Effingham',K1H2 
IL,'Grundy',KC09 
IL,'Jackson',KMDH 
IL,'Jefferson',KMVN 
IL,'Kane',KARR 
IL,'Kankakee',KIKK 
IL,'Knox',KGBG 
IL,'La Salle',KVYS 
IL,'Lake',KUGN 
IL,'Lawrence',KAJG 
IL,'Lawrence',KLWV 
IL,'Livingston',KPNT 
IL,'Logan',KAAA 
IL,'Macon',KDEC 
IL,'Madison',KALN 
IL,'Marion',KENL 
IL,'Marion',KSLO 
IL,'Marshall',KC75 
IL,'Massac',KM30 
IL,'McDonough',KMQB 
IL,'McLean',KBMI 
IL,'Montgomery',K3LF 
IL,'Morgan',KIJX 
IL,'Northern Cook',KPWK 
IL,'Northern Will',KJOT 
IL,'Northern Will',KLOT 
IL,'Ogle',KRPJ 
IL,'Peoria',KPIA 
IL,'Pike',KPPQ 
IL,'Randolph',KSAR 
IL,'Richland',KOLY 
IL,'Rock Island',KMLI 
IL,'Saline',KHSB 
IL,'Sangamon',KSPI 
IL,'St. Clair',KBLV 
IL,'St. Clair',KCPS 
IL,'Stephenson',KFEP 
IL,'Vermilion',KDNV 
IL,'Wayne',KFWC 
IL,'White',KCUL 
IL,'Whiteside',KSQI 
IL,'Williamson',KMWA 
IL,'Winnebago',KRFD 
IN,'Allen',KFWA 
IN,'Bartholomew',KBAK 
