year,begin_time,end_time,episode_id,event_id,state_text,zone,event_type,short_ugcs
2009,2009-01-12 09:00:00 UTC,2009-01-12 15:00 UTC,25675,149919,IA,"WOODBURY",Blizzard,IA-C193|IA-Z031
2009,2009-01-12 09:00:00 UTC,2009-01-12 15:00 UTC,25674,149912,MN,"JACKSON",Blizzard,MN-C063|MN-Z090
2009,2009-01-12 10:00:00 UTC,2009-01-12 15:00 UTC,25675,149918,IA,"CLAY",Blizzard,IA-C041|IA-Z014
2009,2009-01-12 08:00:00 UTC,2009-01-12 15:00 UTC,25673,149895,SD,"UNION",Blizzard,SD-C127|SD-Z071
2009,2009-01-12 07:30:00 UTC,2009-01-12 15:00 UTC,25674,149907,MN,"LINCOLN",Blizzard,MN-C081|MN-Z071
2009,2009-01-12 07:30:00 UTC,2009-01-12 15:00 UTC,25674,149908,MN,"PIPESTONE",Blizzard,MN-C117|MN-Z097
2009,2009-01-12 08:00:00 UTC,2009-01-12 15:00 UTC,25674,149909,MN,"LYON",Blizzard,MN-C083|MN-Z072
2009,2009-01-12 08:00:00 UTC,2009-01-12 15:00 UTC,25674,149910,MN,"MURRAY",Blizzard,MN-C101|MN-Z080
2009,2009-12-08 18:00:00 UTC,2009-12-08 21:00 UTC,34588,200626,IA,"PAGE",Blizzard,IA-C145|IA-Z091
2009,2009-01-12 09:00:00 UTC,2009-01-12 15:00 UTC,25701,150099,NE,"DAKOTA",Blizzard,NE-C043|NE-Z014
2009,2009-01-12 09:00:00 UTC,2009-01-12 15:00 UTC,25701,150100,NE,"DIXON",Blizzard,NE-C051|NE-Z013
2009,2009-01-12 04:00:00 UTC,2009-01-12 15:00 UTC,25673,149888,SD,"KINGSBURY",Blizzard,SD-C077|SD-Z039
2009,2009-01-12 04:00:00 UTC,2009-01-12 15:00 UTC,25673,149889,SD,"MINER",Blizzard,SD-C097|SD-Z054
2009,2009-01-12 06:00:00 UTC,2009-01-12 15:00 UTC,25673,149890,SD,"LAKE",Blizzard,SD-C079|SD-Z055
2009,2009-01-12 06:00:00 UTC,2009-01-12 15:00 UTC,25673,149891,SD,"BROOKINGS",Blizzard,SD-C011|SD-Z040
2009,2009-04-03 18:00:00 UTC,2009-04-04 11:00 UTC,26888,157533,WY,"CHEYENNE FOOTHILLS",Blizzard,WY-Z069
2009,2009-04-03 20:00:00 UTC,2009-04-04 11:00 UTC,26888,157534,WY,"GOSHEN",Blizzard,WY-C015|WY-Z068
2009,2009-04-03 21:00:00 UTC,2009-04-04 11:00 UTC,26888,157535,WY,"PINE BLUFFS",Blizzard,WY-Z070
2009,2009-04-03 20:00:00 UTC,2009-04-04 11:00 UTC,26888,157536,WY,"PLATTE",Blizzard,WY-C031|WY-Z067
2009,2009-03-30 15:00:00 UTC,2009-03-31 12:00 UTC,26864,157364,SD,"BEADLE",Blizzard,SD-C005|SD-Z038
2009,2009-03-26 05:00:00 UTC,2009-03-26 19:00 UTC,26341,154174,CO,"YUMA COUNTY",Blizzard,CO-Z090
2009,2009-03-30 14:00:00 UTC,2009-03-31 12:00 UTC,26864,157371,SD,"CHARLES MIX",Blizzard,SD-C023|SD-Z063
2009,2009-03-30 19:00:00 UTC,2009-03-31 12:00 UTC,26864,157374,SD,"KINGSBURY",Blizzard,SD-C077|SD-Z039
2009,2009-03-30 19:00:00 UTC,2009-03-31 12:00 UTC,26864,157375,SD,"DOUGLAS",Blizzard,SD-C043|SD-Z064
2009,2009-03-31 01:00:00 UTC,2009-03-31 12:00 UTC,26864,157380,SD,"LAKE",Blizzard,SD-C079|SD-Z055
2009,2009-03-30 15:00:00 UTC,2009-03-31 12:00 UTC,26864,157365,SD,"JERAULD",Blizzard,SD-C073|SD-Z052
2009,2009-03-30 16:00:00 UTC,2009-03-31 12:00 UTC,26864,157368,SD,"AURORA",Blizzard,SD-C003|SD-Z058
2009,2009-03-26 08:00:00 UTC,2009-03-27 04:00 UTC,26341,154172,CO,"CHEYENNE COUNTY",Blizzard,CO-Z092
2009,2009-03-26 06:00:00 UTC,2009-03-27 00:00 UTC,26341,154173,CO,"KIT CARSON COUNTY",Blizzard,CO-Z091
2009,2009-03-30 14:00:00 UTC,2009-03-31 12:00 UTC,26864,157366,SD,"BRULE",Blizzard,SD-C015|SD-Z057
2009,2009-03-30 14:00:00 UTC,2009-03-31 12:00 UTC,26864,157370,SD,"GREGORY",Blizzard,SD-C053|SD-Z050
2009,2009-04-04 12:00:00 UTC,2009-04-04 18:30 UTC,27212,159700,NE,"DUNDY",Blizzard,NE-C057|NE-Z079
2009,2009-03-30 22:00:00 UTC,2009-03-31 12:00 UTC,26864,157379,SD,"MINER",Blizzard,SD-C097|SD-Z054
2009,2009-03-31 02:00:00 UTC,2009-03-31 12:00 UTC,26864,157381,SD,"MCCOOK",Blizzard,SD-C087|SD-Z061
2009,2009-03-31 00:00:00 UTC,2009-03-31 12:00 UTC,26864,157382,SD,"BON HOMME",Blizzard,SD-C009|SD-Z068
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167825,SD,"GREGORY",Blizzard,SD-C053|SD-Z050
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167823,SD,"DAVISON",Blizzard,SD-C035|SD-Z059
2009,2009-03-22 22:00:00 UTC,2009-03-23 09:00 UTC,26427,154600,WY,"PINE BLUFFS",Blizzard,WY-Z070
2009,2009-03-23 04:00:00 UTC,2009-03-23 16:00 UTC,26428,154609,NE,"DAWES",Blizzard,NE-C045|NE-Z002
2009,2009-03-23 04:00:00 UTC,2009-03-23 16:00 UTC,26428,154610,NE,"BOX BUTTE",Blizzard,NE-C013|NE-Z003
2009,2009-03-25 22:00:00 UTC,2009-03-26 09:00 UTC,26429,154616,WY,"PINE BLUFFS",Blizzard,WY-Z070
2009,2009-04-04 07:00:00 UTC,2009-04-04 21:00 UTC,28516,168359,SD,"CLAY",Blizzard,SD-C027|SD-Z070
2009,2009-03-22 13:00:00 UTC,2009-03-23 16:00 UTC,26427,154602,WY,"NIOBRARA",Blizzard,WY-C027|WY-Z060
2009,2009-03-22 23:00:00 UTC,2009-03-23 18:00 UTC,26427,154604,WY,"LARAMIE RANGE",Blizzard,WY-Z066
2009,2009-03-23 04:00:00 UTC,2009-03-23 16:00 UTC,26428,154608,NE,"SIOUX",Blizzard,NE-C165|NE-Z001
2009,2009-04-04 07:00:00 UTC,2009-04-04 21:00 UTC,28516,168355,SD,"MINNEHAHA",Blizzard,SD-C099|SD-Z062
2009,2009-04-04 07:00:00 UTC,2009-04-04 21:00 UTC,28516,168357,SD,"LINCOLN",Blizzard,SD-C083|SD-Z067
2009,2009-04-04 07:00:00 UTC,2009-04-04 21:00 UTC,28516,168358,SD,"YANKTON",Blizzard,SD-C135|SD-Z069
2009,2009-04-04 07:00:00 UTC,2009-04-04 21:00 UTC,28516,168360,SD,"UNION",Blizzard,SD-C127|SD-Z071
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167826,SD,"CHARLES MIX",Blizzard,SD-C023|SD-Z063
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167827,SD,"DOUGLAS",Blizzard,SD-C043|SD-Z064
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167820,SD,"BRULE",Blizzard,SD-C015|SD-Z057
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167821,SD,"JERAULD",Blizzard,SD-C073|SD-Z052
2009,2009-04-04 04:00:00 UTC,2009-04-04 21:00 UTC,28516,167822,SD,"AURORA",Blizzard,SD-C003|SD-Z058
2009,2009-04-04 05:00:00 UTC,2009-04-04 21:00 UTC,28516,167829,SD,"BON HOMME",Blizzard,SD-C009|SD-Z068
